"날짜","전표번호","거래처","품목","줄 금액","밖 세액","우리 세액","차이","왜 과세로 나갔나"
"2026-08-03","260803-11","화성 청정식품(고추가루)","볶음참깨-낱개/1kg","2544000","49091","293637","244546","연결이 과세로 등록돼 있음"
"2026-08-03","260803-11","화성 청정식품(고추가루)","시골향 들깨가루(고운)/1kg","146000","49091","293637","244546","연결이 과세로 등록돼 있음"
"2026-08-03","260803-11","화성 청정식품(고추가루)","시골향 참기름/A/1750ml","540000","49091","293637","244546","연결이 과세로 등록돼 있음"
"2026-08-04","260804-03","모란식품","참기름/골드A/모란/1750ml","105000","471273","555455","84182","연결이 과세로 등록돼 있음"
"2026-08-04","260804-03","모란식품","참기름/특/모란/1750ml","2160000","471273","555455","84182","전표 줄에 품목이 안 물려 있음(손입력)"
"2026-08-04","260804-03","모란식품","참기름/병/특A/모란/350ml","960000","471273","555455","84182","전표 줄에 품목이 안 물려 있음(손입력)"
"2026-08-04","260804-03","모란식품","들기름/모란/1750ml","750000","471273","555455","84182","연결이 과세로 등록돼 있음"
"2026-08-04","260804-03","모란식품","참기름/분/모란/1750ml","465000","471273","555455","84182","연결이 과세로 등록돼 있음"
"2026-08-04","260804-03","모란식품","볶음참깨-낱개/1kg","744000","471273","555455","84182","이 거래처에 그 품목 연결이 없음"
"2026-08-04","260804-03","모란식품","들깨가루(고운)/모란/1kg","146000","471273","555455","84182","연결이 과세로 등록돼 있음"
"2026-08-04","260804-03","모란식품","탈피들깨가루/모란/1kg","780000","471273","555455","84182","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-04","260804-07","동일농산","참고소한기름","102000","0","48364","48364","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-04","260804-07","동일농산","시골향 참기름/병/골드A/350ml","100000","0","48364","48364","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-04","260804-07","동일농산","시골향 참기름/골드A/1750ml","210000","0","48364","48364","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-04","260804-07","동일농산","시골향 들기름/병/350ml","120000","0","48364","48364","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-05","260805-08","대왕푸드(우리식품)","검정참깨가루/1kg","113000","0","10273","10273","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-05","260805-04","(주)거산농산","참고소한기름","374400","163964","341237","177273","연결이 과세로 등록돼 있음"
"2026-08-05","260805-04","(주)거산농산","맛기름","156000","163964","341237","177273","연결이 과세로 등록돼 있음"
"2026-08-05","260805-04","(주)거산농산","참진한기름","313200","163964","341237","177273","연결이 과세로 등록돼 있음"
"2026-08-05","260805-04","(주)거산농산","시골향 참기름/특A/1800ml","960000","163964","341237","177273","연결이 과세로 등록돼 있음"
"2026-08-05","260805-04","(주)거산농산","들깨가루(거친)/거산/1kg","450000","163964","341237","177273","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-05","260805-04","(주)거산농산","들깨가루(중간)/거산/1kg","1500000","163964","341237","177273","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-05","260805-10","일성상회","시골향 참기름/특A/1750ml","800000","0","72727","72727","이 거래처에 그 품목 연결이 없음"
"2026-08-06","260806-05","화성 청정식품(고추가루)","시골향 들깨가루(중간)/1kg","438000","0","39818","39818","연결이 과세로 등록돼 있음"
"2026-08-06","260806-06","대성농산","시골향 참기름/골드/1800ml","220000","0","26545","26545","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-06","260806-06","대성농산","맛기름","72000","0","26545","26545","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-06","260806-07","대왕푸드(우리식품)","맛기름","156000","14182","15000","818","연결이 과세로 등록돼 있음"
"2026-08-06","260806-07","대왕푸드(우리식품)","택배비","9000","14182","15000","818","전표 줄에 품목이 안 물려 있음(손입력)"
"2026-08-07","260807-03","대왕푸드(우리식품)","들기름/대왕/1800ml","300000","35346","45891","10545","연결이 과세로 등록돼 있음"
"2026-08-07","260807-03","대왕푸드(우리식품)","참향기름","88800","35346","45891","10545","연결이 과세로 등록돼 있음"
"2026-08-07","260807-03","대왕푸드(우리식품)","볶음참깨-낱개/1kg","116000","35346","45891","10545","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-07","260807-02","일성상회","시골향 들깨가루(중간)/1kg","300000","0","27273","27273","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-07","260807-04","홍인농산","시골향 참기름/골드A/1750ml","840000","0","94546","94546","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-07","260807-04","홍인농산","시골향 참기름/병/골드A/350ml","200000","0","94546","94546","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-10","260810-01","살림터","참깨","1428000","0","129818","129818","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-10","260810-10","대왕푸드(우리식품)","참기름/A/천하1750ml","228000","40227","53863","13636","연결이 과세로 등록돼 있음"
"2026-08-10","260810-10","대왕푸드(우리식품)","참기름/골드/대왕/1800ml","210000","40227","53863","13636","연결이 과세로 등록돼 있음"
"2026-08-10","260810-10","대왕푸드(우리식품)","시골향 들깨가루(중간)/1kg","150000","40227","53863","13636","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-10","260810-10","대왕푸드(우리식품)","택배비","4500","40227","53863","13636","전표 줄에 품목이 안 물려 있음(손입력)"
"2026-08-10","260810-08","일성상회","시골향 참기름/A/1750ml","540000","0","85455","85455","이 거래처에 그 품목 연결이 없음"
"2026-08-10","260810-08","일성상회","시골향 참기름/특A/1750ml","400000","0","85455","85455","이 거래처에 그 품목 연결이 없음"
"2026-08-19","260819-09","(주)거산농산","시골향 참기름/분/1800ml","3600000","352800","313273","-39527","연결이 과세로 등록돼 있음"
"2026-08-19","260819-09","(주)거산농산","볶음검정참깨/1kg","-154000","352800","313273","-39527","연결이 과세로 등록돼 있음"
"2026-08-20","260820-01","동일농산","시골향 참기름/골드A/1750ml","210000","0","19091","19091","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-26","260826-07","영동씨푸드(주)","시골향탈피들깨가루/1kg","160000","0","14545","14545","연결에 과세/면세 미설정 → 기본 과세"
"2026-08-27","260827-15","주식회사 새봄푸드","볶음참깨","1220000","132909","146545","13636","연결이 과세로 등록돼 있음"
"2026-08-27","260827-15","주식회사 새봄푸드","볶음검정참깨","242000","132909","146545","13636","연결이 과세로 등록돼 있음"
"2026-08-27","260827-15","주식회사 새봄푸드","시골향들깨가루(중간)/1kg","150000","132909","146545","13636","연결이 과세로 등록돼 있음"
"2026-08-27","260827-08","(주)한통","시골향참기름/병/특/350ml","4050000","457091","611636","154545","연결에 과세/면세 미설정 → 기본 과세"
"2026-08-27","260827-08","(주)한통","시골향들기름/병/특/350ml","378000","457091","611636","154545","연결에 과세/면세 미설정 → 기본 과세"
"2026-08-27","260827-08","(주)한통","볶음참깨-낱개/1kg","600000","457091","611636","154545","연결이 과세로 등록돼 있음"
"2026-08-27","260827-08","(주)한통","고춧가루 1kg","340000","457091","611636","154545","연결이 과세로 등록돼 있음"
"2026-08-27","260827-08","(주)한통","고춧가루 5kg","1360000","457091","611636","154545","연결이 과세로 등록돼 있음"
"2026-08-27","260827-14","영광농산","시골향참기름/분/1800ml","576000","0","52364","52364","연결에 과세/면세 미설정 → 기본 과세"
"2026-08-28","260827-12","대왕푸드(우리식품)","참기름/특A/대왕/1800ml","720000","74837","105382","30545","연결이 과세로 등록돼 있음"
"2026-08-28","260827-12","대왕푸드(우리식품)","볶음검정참깨/1kg","220000","74837","105382","30545","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"
"2026-08-28","260827-12","대왕푸드(우리식품)","참진한기름","103200","74837","105382","30545","연결이 과세로 등록돼 있음"
"2026-08-28","260827-12","대왕푸드(우리식품)","볶음참깨-낱개/1kg","116000","74837","105382","30545","연결은 지금 면세 — 전표 발행 뒤에 고친 듯"

"※ 아래는 미수 차이 — 내 셈이 엉성하니 참고만 (수금/지불 구분·반품·DC 미반영)"
"날짜","","거래처","","","밖 미수","우리 미수","차이",""
"2026-08-31","","(유)에스제이엠","","","2376880","281930","-2094950",""
"2026-08-31","","(유)에스제이엠","","","0","281930","281930",""
"2026-08-31","","(주)거산농산","","","8268000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)대만농수산물류","","","25200000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)대승종합식자재","","","4443500","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)대아에프엔에스","","","1860000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)더마트식자재센터","","","35632500","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)수암식품","","","116000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)제이에스무역","","","-450000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)제이엠푸드","","","17500","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)제이오코리아월드","","","8062500","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)카리나F&T","","","3686970","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)풍회유통","","","696036000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)한통","","","6728000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","(주)해내음식품","","","6000000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","**안사장님","","","19548150","1325650","-18222500",""
"2026-08-31","","**진수성찬","","","120000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","가미김밥","","","252000","0","-252000",""
"2026-08-31","","강호식품","","","0","-1130000","-1130000",""
"2026-08-31","","건양식당","","","132000","-36000","-168000",""
"2026-08-31","","광명본갈비","","","182000","0","-182000",""
"2026-08-31","","글로벌유통","","","1460000","608000","-852000",""
"2026-08-31","","김동환","","","12600","(우리 앱에 없는 거래처)","",""
"2026-08-31","","나라식품","","","3626000","-184000","-3810000",""
"2026-08-31","","나인원","","","24573000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","논두렁오리주물럭 선릉직영점","","","322000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","논두렁오리주물럭 잠실새내직영점","","","322000","-140000","-462000",""
"2026-08-31","","논두렁오리주물럭광명본점","","","714000","140000","-574000",""
"2026-08-31","","다싸다마켓","","","620000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","대농라이스푸드","","","570000","-480000","-1050000",""
"2026-08-31","","대성농산","","","0","-466000","-466000",""
"2026-08-31","","대양식품","","","700000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","대왕푸드(우리식품)","","","538650","(우리 앱에 없는 거래처)","",""
"2026-08-31","","라이온스","","","1302000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","무경유통","","","380000","0","-380000",""
"2026-08-31","","색동면옥(안녕동)","","","576000","-576000","-1152000",""
"2026-08-31","","서래농산","","","0","-4130000","-4130000",""
"2026-08-31","","신길남사장님","","","294000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","알이네식품","","","4626000","-1269000","-5895000",""
"2026-08-31","","양념마을(구리지점)","","","21782710","0","-21782710",""
"2026-08-31","","엠에스식품","","","0","-600000","-600000",""
"2026-08-31","","완도식품","","","0","-1461200","-1461200",""
"2026-08-31","","유통가교 ","","","620000","-1135000","-1755000",""
"2026-08-31","","유통가교정사장님","","","-7500","(우리 앱에 없는 거래처)","",""
"2026-08-31","","일산현대-농가식품","","","176200","(우리 앱에 없는 거래처)","",""
"2026-08-31","","일성상회","","","2150000","-1268000","-3418000",""
"2026-08-31","","일품(지안푸드)","","","102000","0","-102000",""
"2026-08-31","","임흥섭","","","1100000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","제일큰마트(충주)","","","1035200","(우리 앱에 없는 거래처)","",""
"2026-08-31","","주식회사 새봄푸드","","","2710000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","주식회사 선민유통","","","540000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","주식회사 엘생명","","","6644400","(우리 앱에 없는 거래처)","",""
"2026-08-31","","주식회사대왕푸드","","","379000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","주식회사풍회유통","","","128240000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","지구식품","","","3577750","2040000","-1537750",""
"2026-08-31","","진현","","","536400","44400","-492000",""
"2026-08-31","","진화상회","","","1280000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","짠지네식품","","","0","-2433400","-2433400",""
"2026-08-31","","천지유통","","","0","-684400","-684400",""
"2026-08-31","","태백식품","","","0","5159600","5159600",""
"2026-08-31","","푸드원","","","982800","516000","-466800",""
"2026-08-31","","푸미푸드","","","0","-2253475","-2253475",""
"2026-08-31","","한신기름","","","600000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","한울유통","","","7027600","0","-7027600",""
"2026-08-31","","해까득","","","152000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","해달","","","1196000","0","-1196000",""
"2026-08-31","","해피유통(더 해피)","","","9700000","(우리 앱에 없는 거래처)","",""
"2026-08-31","","현대유통(원주)","","","2326000","-3068000","-5394000",""
"2026-08-31","","황가네푸드","","","1098200","(우리 앱에 없는 거래처)","",""
