지금 연결,거래처,품목,줄수,금액
"미설정","한통","시골향참기름/병/특/350ml","1","4050000"
"과세","거산농산","시골향 참기름/분/1800ml","1","3600000"
"과세","청정식품","볶음참깨-낱개/1kg","1","2544000"
"품목 연결 없음","모란식품","참기름/특/모란/1750ml","1","2160000"
"면세","거산농산","들깨가루(중간)/거산/1kg","1","1500000"
"면세","소매","참깨","1","1428000"
"과세","한통","고춧가루 5kg","1","1360000"
"과세","새봄푸드","볶음참깨","1","1220000"
"거래처 연결 없음","일성상회","시골향 참기름/특A/1750ml","2","1200000"
"품목 연결 없음","모란식품","참기름/병/특A/모란/350ml","1","960000"
"과세","거산농산","시골향 참기름/특A/1800ml","1","960000"
"면세","홍인농산","시골향 참기름/골드A/1750ml","1","840000"
"면세","모란식품","탈피들깨가루/모란/1kg","1","780000"
"과세","모란식품","들기름/모란/1750ml","1","750000"
"거래처 연결 없음","모란식품","볶음참깨-낱개/1kg","1","744000"
"과세","대왕푸드","참기름/특A/대왕/1800ml","1","720000"
"과세","한통","볶음참깨-낱개/1kg","1","600000"
"미설정","영광농산","시골향참기름/분/1800ml","1","576000"
"과세","청정식품","시골향 참기름/A/1750ml","1","540000"
"거래처 연결 없음","일성상회","시골향 참기름/A/1750ml","1","540000"
"과세","모란식품","참기름/분/모란/1750ml","1","465000"
"면세","거산농산","들깨가루(거친)/거산/1kg","1","450000"
"과세","청정식품","시골향 들깨가루(중간)/1kg","1","438000"
"면세","동일농산","시골향 참기름/골드A/1750ml","2","420000"
"미설정","한통","시골향들기름/병/특/350ml","1","378000"
"과세","거산농산","참고소한기름","1","374400"
"과세","한통","고춧가루 1kg","1","340000"
"과세","거산농산","참진한기름","1","313200"
"과세","대왕푸드","들기름/대왕/1800ml","1","300000"
"면세","일성상회","시골향 들깨가루(중간)/1kg","1","300000"
"과세","새봄푸드","볶음검정참깨","1","242000"
"면세","대왕푸드","볶음참깨-낱개/1kg","2","232000"
"과세","대왕푸드","참기름/A/천하1750ml","1","228000"
"면세","대성농산","시골향 참기름/골드/1800ml","1","220000"
"면세","대왕푸드","볶음검정참깨/1kg","1","220000"
"과세","대왕푸드","참기름/골드/대왕/1800ml","1","210000"
"면세","홍인농산","시골향 참기름/병/골드A/350ml","1","200000"
"미설정","영동씨푸드","시골향탈피들깨가루/1kg","1","160000"
"과세","거산농산","맛기름","1","156000"
"과세","대왕푸드","맛기름","1","156000"
"면세","대왕푸드","시골향 들깨가루(중간)/1kg","1","150000"
"과세","새봄푸드","시골향들깨가루(중간)/1kg","1","150000"
"과세","청정식품","시골향 들깨가루(고운)/1kg","1","146000"
"과세","모란식품","들깨가루(고운)/모란/1kg","1","146000"
"면세","동일농산","시골향 들기름/병/350ml","1","120000"
"면세","대왕푸드","검정참깨가루/1kg","1","113000"
"과세","모란식품","참기름/골드A/모란/1750ml","1","105000"
"과세","대왕푸드","참진한기름","1","103200"
"면세","동일농산","참고소한기름","1","102000"
"면세","동일농산","시골향 참기름/병/골드A/350ml","1","100000"
"과세","대왕푸드","참향기름","1","88800"
"면세","대성농산","맛기름","1","72000"
"품목 연결 없음","대왕푸드","택배비","2","13500"
"과세","거산농산","볶음검정참깨/1kg","1","-154000"
