갈래,거래처,날짜,무엇,밖 장부,우리 앱,차이,비고
"세액","화성 청정식품(고추가루)","2026-08-03","합계 3,230,000","49091","293637","244546","260803-11"
"세액","(주)수암식품","2026-08-03","합계 2,320,000","0","210909","210909","밖=면세 260803-07"
"세액","모란식품","2026-08-04","합계 6,110,000","471273","555455","84182","260804-03"
"세액","동일농산","2026-08-04","합계 532,000","0","48364","48364","밖=면세 260804-07"
"세액","대왕푸드(우리식품)","2026-08-05","합계 113,000","0","10273","10273","밖=면세 260805-08"
"세액","(주)거산농산","2026-08-05","합계 3,753,600","163964","341237","177273","260805-04"
"세액","일성상회","2026-08-05","합계 800,000","0","72727","72727","밖=면세 260805-10"
"세액","화성 청정식품(고추가루)","2026-08-06","합계 438,000","0","39818","39818","밖=면세 260806-05"
"세액","대성농산","2026-08-06","합계 292,000","0","26545","26545","밖=면세 260806-06"
"세액","대왕푸드(우리식품)","2026-08-06","합계 165,000","14182","15000","818","260806-07"
"세액","대왕푸드(우리식품)","2026-08-07","합계 504,800","35346","45891","10545","260807-03"
"세액","일성상회","2026-08-07","합계 300,000","0","27273","27273","밖=면세 260807-02"
"세액","홍인농산","2026-08-07","합계 1,040,000","0","94546","94546","밖=면세 260807-04"
"세액","살림터","2026-08-10","합계 1,428,000","0","129818","129818","밖=면세 260810-01"
"세액","서래농산","2026-08-10","합계 4,010,000","0","364545","364545","밖=면세 260810-04"
"세액","대왕푸드(우리식품)","2026-08-10","합계 592,500","40227","53863","13636","260810-10"
"세액","일성상회","2026-08-10","합계 940,000","0","85455","85455","밖=면세 260810-08"
"세액","(주)거산농산","2026-08-19","합계 5,144,800","352800","313273","-39527","260819-09"
"세액","동일농산","2026-08-20","합계 210,000","0","19091","19091","밖=면세 260820-01"
"세액","영동씨푸드(주)","2026-08-26","합계 160,000","0","14545","14545","밖=면세 260826-07"
"세액","주식회사 새봄푸드","2026-08-27","합계 1,612,000","132909","146545","13636","260827-15"
"세액","(주)한통","2026-08-27","합계 6,728,000","457091","611636","154545","260827-08"
"세액","영광농산","2026-08-27","합계 576,000","0","52364","52364","밖=면세 260827-14"
"세액","대왕푸드(우리식품)","2026-08-28","합계 1,159,200","74837","105382","30545","260827-12"
"미수","(유)에스제이엠","2026-08-31","마감시점미수","2376880","281930","-2094950","c-1780383266745"
