품목,거래처,방향,단가,지금,왜 봐야 하나,전표에서 끊긴 값,다른 거래처는
"고춧가루 1kg","진보반찬","매출","9000","면세","거래처마다 섞임","없음","과세 2 / 면세 1"
"고춧가루 1kg","청정식품","매입","7500","과세","거래처마다 섞임","없음","과세 2 / 면세 1"
"고춧가루 1kg","한통","매출","8500","과세","거래처마다 섞임","없음","과세 2 / 면세 1"
"고춧가루 5kg","청정식품","매입","7500","과세","약한 근거로 채움","없음","과세 2 / 면세 0"
"깨분","따나카코리아","매입","2970","과세","약한 근거로 채움","없음","과세 3 / 면세 0"
"깨분","카프코","매입","2970","과세","약한 근거로 채움","없음","과세 3 / 면세 0"
"깨분참기름/16.5kg","청정식품","매입","116982.75","과세","약한 근거로 채움","없음","과세 4 / 면세 0"
"들향기름","가득찬식품","매입","6600","과세","약한 근거로 채움","없음","과세 10 / 면세 0"
"들향기름","대왕푸드","매출","7400","과세","약한 근거로 채움","없음","과세 10 / 면세 0"
"들향기름","무경유통","매출","7700","과세","약한 근거로 채움","없음","과세 10 / 면세 0"
"들향기름","에덴식당재료마트","매출","8200","과세","약한 근거로 채움","없음","과세 10 / 면세 0"
"들향기름","제일큰마트","매출","7500","과세","약한 근거로 채움","없음","과세 10 / 면세 0"
"들향기름","피쉬메이져","매출","8000","과세","약한 근거로 채움","없음","과세 10 / 면세 0"
"들향기름골드","대왕푸드","매출","8200","과세","약한 근거로 채움","없음","과세 4 / 면세 0"
"들향기름골드","완도식품","매출","9700","과세","약한 근거로 채움","없음","과세 4 / 면세 0"
"들향기름골드","훈장골","매출","10000","과세","약한 근거로 채움","없음","과세 4 / 면세 0"
"맛기름","가득찬식품","매입","6000","과세","약한 근거로 채움","없음","과세 8 / 면세 0"
"맛기름","강변방아간","매출","7000","과세","약한 근거로 채움","없음","과세 8 / 면세 0"
"맛기름","거산농산","매출","6500","과세","약한 근거로 채움","없음","과세 8 / 면세 0"
"맛기름","대성농산","매출","6000","과세","약한 근거로 채움","없음","과세 8 / 면세 0"
"맛기름","대왕푸드","매출","6500","과세","약한 근거로 채움","없음","과세 8 / 면세 0"
"맛기름","푸드원","매출","6700","과세","약한 근거로 채움","없음","과세 8 / 면세 0"
"볶음검정참깨/1kg","거산농산","매출","11000","과세","거래처마다 섞임","없음","과세 4 / 면세 3"
"볶음검정참깨/1kg","거산농산","매출","11000","과세","약한 근거로 채움","없음","과세 6 / 면세 0"
"볶음검정참깨/1kg","대성농산","매출","11000","과세","거래처마다 섞임","없음","과세 4 / 면세 3"
"볶음검정참깨/1kg","대성농산","매출","1100","과세","약한 근거로 채움","없음","과세 6 / 면세 0"
"볶음검정참깨/1kg","대승종합식자재","매출","12700","과세","거래처마다 섞임","없음","과세 4 / 면세 3"
"볶음검정참깨/1kg","대왕푸드","매출","11000","과세","거래처마다 섞임","없음","과세 4 / 면세 3"
"볶음검정참깨/1kg","무경유통","매출","11000","면세","거래처마다 섞임","없음","과세 4 / 면세 3"
"볶음검정참깨/1kg","무경유통","매출","11000","과세","약한 근거로 채움","없음","과세 6 / 면세 0"
"볶음검정참깨/1kg","유원식품(시흥)","매출","11000","면세","거래처마다 섞임","없음","과세 4 / 면세 3"
"볶음검정참깨/1kg","짠지네식품","매출","11000","면세","거래처마다 섞임","없음","과세 4 / 면세 3"
"볶음검정참깨/1kg","짠지네식품","매출","11000","과세","약한 근거로 채움","없음","과세 6 / 면세 0"
"볶음검정참깨/1kg","청정식품","매출","11000","과세","약한 근거로 채움","없음","과세 6 / 면세 0"
"볶음들깨","수입","매입","6700","면세","약한 근거로 채움","없음","과세 0 / 면세 2"
"볶음참깨","(인천)청정식품","매입","5400","과세","거래처마다 섞임","과세 1 / 면세 1","과세 2 / 면세 1"
"볶음참깨","새봄푸드","매출","5600","과세","거래처마다 섞임","과세 1 / 면세 1","과세 2 / 면세 1"
