날짜,찍힌때,주문,거래처,품목,규격,개입수,박스수,찍힌kg,맞는kg,모자란kg,원장줄
"2026-08-18","2026-08-17T23:35:16.714Z","ORD-1787009703226","대왕푸드","볶음참깨/1kg","1kg * 10","10","1","1","10","9","볶음참깨=1"
"2026-08-18","2026-08-18T06:01:22.121Z","ORD-1787009983607","수암식품","볶음참깨/1kg","1kg * 20","20","1","1","20","19","볶음참깨=1"
"2026-08-19","2026-08-19T04:53:29.475Z","ORD-1787096934549","대왕푸드","볶음참깨/1kg","1kg * 10","10","10","10","100","90","볶음참깨=10"
"2026-08-21","2026-08-20T14:52:10.628Z","ORD-1786674416669","으뜸건어물","볶음참깨/1kg","1kg * 20","20","2","20","40","20","볶음참깨=20"
"2026-08-21","2026-08-21T07:31:39.186Z","ORD-1787296467189","대왕푸드","볶음참깨/1kg","1kg * 10","10","10","10","100","90","볶음참깨=10"
"2026-08-24","2026-08-24T00:01:49.905Z","ORD-1787529703964","대왕푸드","볶음참깨/1kg","1kg * 10","10","1","1","10","9","볶음참깨=1"
"2026-08-25","2026-08-25T08:04:47.787Z","ORD-1787632872235","유통가교","볶음참깨/1kg","1kg * 20","20","1","1","20","19","볶음참깨=1"
"2026-08-26","2026-08-26T07:44:22.699Z","ORD-1787725107370","대승종합식자재","볶음참깨/1kg","1kg * 20","20","9","9","180","171","볶음참깨=9"
"2026-08-27","2026-08-27T00:04:22.283Z","ORD-1787204536189","한통","볶음참깨/1kg","1kg * 20","20","10","10","200","190","볶음참깨=10"
"2026-08-27","2026-08-27T08:26:15.961Z","ORD-1787819171979","대왕푸드","볶음참깨/1kg","1kg * 20","20","1","1","20","19","볶음참깨=1"
"2026-08-31","2026-08-31T00:32:29.875Z","ORD-1787701656854","거산농산","볶음참깨/1kg","1kg * 20","20","4","4","80","76","볶음참깨=4"
"2026-09-01","2026-09-01T00:12:34.226Z","ORD-1788136694366","수암식품","볶음참깨/1kg","1kg * 20","20","20","20","400","380","볶음참깨=20"
"2026-09-01","2026-09-01T08:34:51.869Z","ORD-1788232123025","대왕푸드","볶음참깨/1kg","1kg * 10","10","2","2","20","18","볶음참깨=2"
"2026-09-01","2026-09-01T06:27:39.146Z","ORD-1788244046888","동우","볶음참깨/1kg","1kg * 10","10","5","5","50","45","볶음참깨=5"
"2026-09-02","2026-09-02T07:55:51.428Z","ORD-1788242771748","짠지네식품","볶음참깨/1kg","1kg * 20","20","3","3","60","57","볶음참깨=3"
"2026-09-03","2026-09-03T08:06:50.815Z","ORD-1788232006202","양념나라","볶음참깨/1kg","1kg * 10","10","13","13","130","117","볶음참깨=13"
"2026-09-03","2026-09-03T08:06:08.481Z","ORD-1788318510763","서래농산","볶음참깨/1kg","1kg * 20","20","5","5","100","95","볶음참깨=5"
"2026-09-03","2026-09-03T08:06:29.760Z","ORD-1788395541504","세화식품","볶음참깨/1kg","1kg * 10","10","2","2","20","18","볶음참깨=2"
"2026-09-07","2026-09-07T05:58:12.144Z","ORD-1788478345603","무경유통","볶음참깨/1kg","1kg * 10","10","20","20","200","180","볶음참깨=20"
"2026-09-07","2026-09-07T08:23:08.176Z","ORD-1788769372540","대왕푸드","볶음참깨/1kg","1kg * 20","20","1","1","20","19","볶음참깨=1"
"2026-09-08","2026-09-08T04:32:54.151Z","ORD-1788761380201","논두렁오리주물럭(광명본점)","볶음참깨/1kg","1kg * 10","10","1","1","10","9","볶음참깨=1"
"2026-09-08","2026-09-08T07:33:07.598Z","ORD-1788824398395","대성농산","볶음참깨/1kg","1kg * 10","10","1","1","10","9","볶음참깨=1"
"2026-09-09","2026-09-09T05:52:40.704Z","ORD-1788908640337","대왕푸드","볶음참깨/1kg","1kg * 10","10","1","1","10","9","볶음참깨=1"
"2026-09-10","2026-09-10T08:26:16.342Z","ORD-1789028770016","한울유통","볶음참깨/1kg","1kg * 10","10","2","2","20","18","볶음참깨=2"
"2026-09-11","2026-09-11T03:54:43.439Z","ORD-1788936186065","무경유통","볶음참깨/1kg","1kg * 10","10","15","15","150","135","볶음참깨=15"
