날짜,전표,갈래,거래처,품목명,규격,수량,단가,계정,왜 못 채웠나,후보 품목
"2026-08-11","260811-06","매입","카드대금","국민","","1","980000","650","그 이름의 품목이 없음",""
"2026-08-25","260825-14","매입","생수비용","금호티앤씨+교원정수","","1","23600","605","그 이름의 품목이 없음",""
"2026-07-31","260731-02","매입","푸미푸드","기초 미수금(이월)","","1","901250","540","그 이름의 품목이 없음",""
"2026-08-06","260806-09","매입","(인천)청정식품","기타","","1","5000","500","그 이름의 품목이 없음",""
"2026-09-01","260901-13","매입","기타","기타","","1","44000","980","그 이름의 품목이 없음",""
"2026-08-19","260819-07","매출","**안사장님","기타(범칙금)","","1","70000","930","그 이름의 품목이 없음",""
"2026-08-11","260811-06","매입","카드대금","롯데","","1","910700","650","그 이름의 품목이 없음",""
"2026-09-01","2026-09-0001","매입","차량 리스","리스료","","1","2344300","819","그 이름의 품목이 없음",""
"2026-08-05","260805-11","매입","보험료","보험료","","1","1600000","590","그 이름의 품목이 없음",""
"2026-08-20","260820-01","매입","보험료","보험료","","1","240600","590","그 이름의 품목이 없음",""
"2026-09-05","2026-09-0039","매입","보험료","보험료 (수수료)","","1","1600000","590","그 이름의 품목이 없음",""
"2026-08-12","가공260812-01","매입","푸미푸드","볶음참깨-낱개/1kg - 가공비 - 과세","낱개","5","550","540","그 이름의 품목이 없음",""
"2026-08-27","가공260828-01","매입","푸미푸드","볶음참깨/1kg","1kg * 10","41","1000","540","그 이름의 품목이 없음",""
"2026-08-27","가공260828-01","매입","푸미푸드","볶음참깨/1kg","1kg * 20","15","1300","540","그 이름의 품목이 없음",""
"2026-08-12","가공260812-01","매입","푸미푸드","볶음참깨/1kg (10개입) - 가공비 - 과세","10개입","680","550","540","그 이름의 품목이 없음",""
"2026-08-12","가공260812-01","매입","푸미푸드","볶음참깨/1kg (20개입) - 가공비 - 과세","20개입","740","550","540","그 이름의 품목이 없음",""
"2026-09-10","260910-003","매입","따나카코리아","볶음참깨가루","","1000","2915","500","그 이름의 품목이 없음",""
"2026-08-25","260825-13","매입","카드대금","부금(채움)","","1","240000","650","그 이름의 품목이 없음",""
"2026-08-25","260825-11","매입","카드대금","삼성","","1","899925","650","그 이름의 품목이 없음",""
"2026-08-04","260804-11","매입","한국농수산물유통공사","상차비","","1500","14.3","500","그 이름의 품목이 없음",""
"2026-08-04","260804-13","매입","풍회유통","상차비","","1500","14.3","500","그 이름의 품목이 없음",""
"2026-08-04","260804-01","매입","한국농수산물유통공사","상차비","","1500","14.3","500","그 이름의 품목이 없음",""
"2026-08-04","260804-02","매출","태백식품","상차비","","1500","14.3","800","그 이름의 품목이 없음",""
"2026-08-11","260811-09","매입","한국농수산물유통공사","상차비","","2250","14.3","500","그 이름의 품목이 없음",""
"2026-08-11","260811-10","매입","풍회유통","상차비","","750","14.3","500","그 이름의 품목이 없음",""
"2026-08-11","260811-02","매입","한국농수산물유통공사","상차비","","750","14.3","500","그 이름의 품목이 없음",""
"2026-08-11","260811-01","매출","태백식품","상차비","","750","14.3","800","그 이름의 품목이 없음",""
"2026-08-18","260818-16","매입","한국농수산물유통공사","상차비","kg","3000","14.3","500","그 이름의 품목이 없음",""
